State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.6276845134358292	0.16020392941886744	0.011912999058521858	5.307070220426033E-4	0.0	0.001307542351105174	4.2401860957561416E-8	0.01556659716630295	1.0644297114228294E-5	3.3784932536891024E-5	0.0	0.16012463826362616	0.012598628850254714	0.0037755236603769916	0.006250449141560977
2	0.10728673543152788	0.622641944958015	0.13171384071806538	0.0	0.0	4.379126713158638E-4	0.011900196511910459	0.10486716562096432	0.0	0.0	0.0	0.014746643768921446	0.005569966310030211	6.59183872093542E-4	1.7641013715593315E-4
3	0.0159905095790311	0.24026000648971713	0.6543723246975987	0.022194271289689614	0.0023366559231312125	0.007444589333373831	0.05162391826839078	0.003398708021595651	0.0	0.0	0.0	9.110523191636531E-4	3.78502480898316E-5	0.0014301138302186339	0.0
4	4.6112667206233646E-4	1.64008636261454E-4	0.017515137482114106	0.8305394532577688	0.09956544452951534	0.050260587896778494	2.519574971483725E-4	0.0	7.147316434388319E-6	0.0	0.0	6.417975382842001E-4	2.8877758418821613E-4	2.657916340269036E-4	3.876995541732647E-5
5	0.0	0.0	0.0020466095845225905	0.10511194880761669	0.6689203520850473	0.11347303046967126	0.05757765613995617	0.0010591719114398663	0.009684186280829265	0.0	0.004202790164381388	0.014474623219245634	0.017206724943044396	0.005349181392811067	8.937250014342334E-4
6	0.0027496758408058655	7.047949160731507E-4	0.009547308904182981	0.06246690614030817	0.12945952195356955	0.5481086326382797	0.00316955851683326	0.038431064408006296	0.003080660267400348	0.0013999589091123772	0.010771073272365253	0.18091248896153286	0.0031206631557266083	0.0015775960916865177	0.004500096024117299
7	0.0	0.011784927717902656	0.029696160134920144	1.3468115094214433E-4	0.03753354244078694	0.0016800598353928957	0.5696631265837465	0.23905430960401308	4.345080084632119E-4	2.1370397058972004E-4	0.009135102892917217	0.041001440944973544	0.05031865639638408	0.009237493299991574	1.1228701897626316E-4
8	0.003344343128038603	0.03761199887065801	4.740239697164417E-4	0.0	3.030513446421565E-4	0.007429652142071044	0.08472052733711455	0.6294858500581347	4.685051919352417E-5	4.6914328283621614E-4	0.012628011550285862	0.21745944020080948	0.0012720196730254098	0.004264709780249716	4.90378143224287E-4
9	0.0	0.0	1.434669980126904E-5	0.0	0.03178904826194583	0.007039434060447931	0.0016021813262667472	0.0010762559416120827	0.7395337094234953	0.1820377255083695	0.018367858588186865	7.883002745952274E-4	0.001830393436253928	0.0035344568419370765	0.012386289637088252
10	0.0	1.9202995906924816E-5	0.0	0.0	1.266781622722711E-4	0.0010322433508069035	1.9239291665232221E-4	0.0014017810441765458	0.05481819747234071	0.7981012858549844	0.1302718609666139	0.0	1.4192189257996134E-4	0.001157743953594177	0.012736691390071836
11	0.0	0.0	0.0	0.0	1.4628088162595658E-4	4.4812376526691465E-4	5.69529268072447E-4	0.0024191150574855245	2.2489460920620998E-4	0.005235122955174566	0.9764076642730136	0.009571861962568828	7.10188349094729E-4	0.004209889864897952	5.732901359323054E-5
12	0.0012748935141802104	2.1606822949328023E-4	2.6566307048067948E-6	5.487605817779665E-6	1.1244642945489827E-4	0.0012199024025419767	4.842032234376035E-4	0.007279490507028101	1.0738467553624296E-6	0.0	0.001763543222737468	0.9786586176582512	0.005135741307081626	0.003146957655339691	6.989177671760549E-4
13	0.007672037677236062	0.004439361536097468	4.0603989653953935E-4	1.2113397756751914E-4	0.009258107643850983	0.0015785866861861896	0.04455541022820812	0.002756856506377367	2.804706791400308E-4	0.0	0.008406624026172663	0.38338918847256637	0.519877085533605	0.01460377125463689	0.002655325881815892
14	0.004143978814510359	0.0011889921932532743	6.955441509108848E-4	1.886523972983197E-4	0.005654654999880545	0.0011161715288824999	0.014625208004865869	0.01790433635391	0.0010762031476925958	9.215864241822513E-4	0.098808116221499	0.3970826159832703	0.02454634951503038	0.4290360138857829	0.003011576379031029
15	3.2526655802519766E-4	2.3319342599573856E-6	0.0	9.130327341717135E-7	3.9343546389217324E-5	2.1653225638462424E-4	0.0	1.5184740203708124E-4	1.8327887101219666E-4	6.284537255844579E-4	1.1931875524857226E-4	0.004596629847707056	1.862724766158581E-4	1.903729306904123E-4	0.9933594386633111
