15	10	E	-7226197.3322433755	200
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0
transitionprobs	11	5	1.4628088162595658E-4
transitionprobs	11	6	4.4812376526691465E-4
transitionprobs	11	7	5.69529268072447E-4
transitionprobs	11	8	0.0024191150574855245
transitionprobs	11	9	2.2489460920620998E-4
transitionprobs	11	10	0.005235122955174566
transitionprobs	11	11	0.9764076642730136
transitionprobs	11	12	0.009571861962568828
transitionprobs	11	13	7.10188349094729E-4
transitionprobs	11	14	0.004209889864897952
transitionprobs	11	15	5.732901359323054E-5
transitionprobs	12	1	0.0012748935141802104
transitionprobs	12	2	2.1606822949328023E-4
transitionprobs	12	3	2.6566307048067948E-6
transitionprobs	12	4	5.487605817779665E-6
transitionprobs	12	5	1.1244642945489827E-4
transitionprobs	12	6	0.0012199024025419767
transitionprobs	12	7	4.842032234376035E-4
transitionprobs	12	8	0.007279490507028101
transitionprobs	12	9	1.0738467553624296E-6
transitionprobs	12	10	0.0
transitionprobs	12	11	0.001763543222737468
transitionprobs	12	12	0.9786586176582512
transitionprobs	12	13	0.005135741307081626
transitionprobs	12	14	0.003146957655339691
transitionprobs	12	15	6.989177671760549E-4
transitionprobs	13	1	0.007672037677236062
transitionprobs	13	2	0.004439361536097468
transitionprobs	13	3	4.0603989653953935E-4
transitionprobs	13	4	1.2113397756751914E-4
transitionprobs	13	5	0.009258107643850983
transitionprobs	13	6	0.0015785866861861896
transitionprobs	13	7	0.04455541022820812
transitionprobs	13	8	0.002756856506377367
transitionprobs	13	9	2.804706791400308E-4
transitionprobs	13	10	0.0
transitionprobs	13	11	0.008406624026172663
transitionprobs	13	12	0.38338918847256637
transitionprobs	13	13	0.519877085533605
transitionprobs	13	14	0.01460377125463689
transitionprobs	13	15	0.002655325881815892
transitionprobs	14	1	0.004143978814510359
transitionprobs	14	2	0.0011889921932532743
transitionprobs	14	3	6.955441509108848E-4
transitionprobs	14	4	1.886523972983197E-4
transitionprobs	14	5	0.005654654999880545
transitionprobs	14	6	0.0011161715288824999
transitionprobs	14	7	0.014625208004865869
transitionprobs	14	8	0.01790433635391
transitionprobs	14	9	0.0010762031476925958
transitionprobs	14	10	9.215864241822513E-4
transitionprobs	14	11	0.098808116221499
transitionprobs	14	12	0.3970826159832703
transitionprobs	14	13	0.02454634951503038
transitionprobs	14	14	0.4290360138857829
transitionprobs	14	15	0.003011576379031029
transitionprobs	15	1	3.2526655802519766E-4
transitionprobs	15	2	2.3319342599573856E-6
transitionprobs	15	3	0.0
transitionprobs	15	4	9.130327341717135E-7
transitionprobs	15	5	3.9343546389217324E-5
transitionprobs	15	6	2.1653225638462424E-4
transitionprobs	15	7	0.0
transitionprobs	15	8	1.5184740203708124E-4
transitionprobs	15	9	1.8327887101219666E-4
transitionprobs	15	10	6.284537255844579E-4
transitionprobs	15	11	1.1931875524857226E-4
transitionprobs	15	12	0.004596629847707056
transitionprobs	15	13	1.862724766158581E-4
transitionprobs	15	14	1.903729306904123E-4
transitionprobs	15	15	0.9933594386633111
emissionprobs	1	0	Ctcf	0	0.9910521724939743
emissionprobs	1	0	Ctcf	1	0.008947827506025833
emissionprobs	1	1	Ezh239875	0	0.9962612522299961
emissionprobs	1	1	Ezh239875	1	0.003738747770003879
emissionprobs	1	2	H2az	0	0.9802582262186019
emissionprobs	1	2	H2az	1	0.01974177378139805
emissionprobs	1	3	H3k09me3	0	0.9740959839885188
emissionprobs	1	3	H3k09me3	1	0.025904016011481183
emissionprobs	1	4	H3k27ac	0	0.6243640557327865
emissionprobs	1	4	H3k27ac	1	0.37563594426721353
emissionprobs	1	5	H3k27me3	0	0.9999267482349674
emissionprobs	1	5	H3k27me3	1	7.325176503262601E-5
emissionprobs	1	6	H3k4me1	0	0.7889523265166304
emissionprobs	1	6	H3k4me1	1	0.21104767348336964
emissionprobs	1	7	H3k4me2	0	0.9878798036301759
emissionprobs	1	7	H3k4me2	1	0.01212019636982403
emissionprobs	1	8	H3k4me3	0	0.9995728154447027
emissionprobs	1	8	H3k4me3	1	4.271845552973078E-4
emissionprobs	1	9	H3k9ac	0	0.9850531735001753
emissionprobs	1	9	H3k9ac	1	0.01494682649982472
emissionprobs	2	0	Ctcf	0	0.9832028156512905
emissionprobs	2	0	Ctcf	1	0.016797184348709505
emissionprobs	2	1	Ezh239875	0	0.9851838029353973
emissionprobs	2	1	Ezh239875	1	0.014816197064602655
emissionprobs	2	2	H2az	0	0.8178268754792803
emissionprobs	2	2	H2az	1	0.18217312452071965
emissionprobs	2	3	H3k09me3	0	0.9944279243466609
emissionprobs	2	3	H3k09me3	1	0.005572075653339101
emissionprobs	2	4	H3k27ac	0	0.13328583692275264
emissionprobs	2	4	H3k27ac	1	0.8667141630772474
emissionprobs	2	5	H3k27me3	0	0.99986805670322
emissionprobs	2	5	H3k27me3	1	1.3194329677994205E-4
emissionprobs	2	6	H3k4me1	0	0.18588178751695536
emissionprobs	2	6	H3k4me1	1	0.8141182124830446
emissionprobs	2	7	H3k4me2	0	0.4930033233605648
emissionprobs	2	7	H3k4me2	1	0.5069966766394352
emissionprobs	2	8	H3k4me3	0	0.9988855072308068
emissionprobs	2	8	H3k4me3	1	0.0011144927691931715
emissionprobs	2	9	H3k9ac	0	0.8931670125526568
emissionprobs	2	9	H3k9ac	1	0.1068329874473431
emissionprobs	3	0	Ctcf	0	0.9586626340758728
emissionprobs	3	0	Ctcf	1	0.04133736592412716
emissionprobs	3	1	Ezh239875	0	0.9613021574408549
emissionprobs	3	1	Ezh239875	1	0.03869784255914514
emissionprobs	3	2	H2az	0	0.5345050485823252
emissionprobs	3	2	H2az	1	0.46549495141767483
emissionprobs	3	3	H3k09me3	0	0.9985574155352782
emissionprobs	3	3	H3k09me3	1	0.0014425844647218075
emissionprobs	3	4	H3k27ac	0	0.01121854803830291
emissionprobs	3	4	H3k27ac	1	0.9887814519616971
emissionprobs	3	5	H3k27me3	0	0.9998560372349884
emissionprobs	3	5	H3k27me3	1	1.4396276501160452E-4
emissionprobs	3	6	H3k4me1	0	0.13492936274146747
emissionprobs	3	6	H3k4me1	1	0.8650706372585325
emissionprobs	3	7	H3k4me2	0	0.0030389611859688217
emissionprobs	3	7	H3k4me2	1	0.9969610388140313
emissionprobs	3	8	H3k4me3	0	0.6636663828998838
emissionprobs	3	8	H3k4me3	1	0.3363336171001161
emissionprobs	3	9	H3k9ac	0	0.43037913762655283
emissionprobs	3	9	H3k9ac	1	0.5696208623734472
emissionprobs	4	0	Ctcf	0	0.9380092020195343
emissionprobs	4	0	Ctcf	1	0.06199079798046564
emissionprobs	4	1	Ezh239875	0	0.9808433715619777
emissionprobs	4	1	Ezh239875	1	0.019156628438022346
emissionprobs	4	2	H2az	0	0.3692707017548246
emissionprobs	4	2	H2az	1	0.6307292982451753
emissionprobs	4	3	H3k09me3	0	0.9980010206967206
emissionprobs	4	3	H3k09me3	1	0.00199897930327942
emissionprobs	4	4	H3k27ac	0	0.08250006908350382
emissionprobs	4	4	H3k27ac	1	0.9174999309164963
emissionprobs	4	5	H3k27me3	0	0.9933417223882345
emissionprobs	4	5	H3k27me3	1	0.0066582776117655425
emissionprobs	4	6	H3k4me1	0	0.82076312864795
emissionprobs	4	6	H3k4me1	1	0.17923687135205008
emissionprobs	4	7	H3k4me2	0	0.018067226707930806
emissionprobs	4	7	H3k4me2	1	0.9819327732920692
emissionprobs	4	8	H3k4me3	0	0.002721433407628923
emissionprobs	4	8	H3k4me3	1	0.9972785665923711
emissionprobs	4	9	H3k9ac	0	0.1546260615190308
emissionprobs	4	9	H3k9ac	1	0.8453739384809692
emissionprobs	5	0	Ctcf	0	0.8922988646679886
emissionprobs	5	0	Ctcf	1	0.10770113533201135
emissionprobs	5	1	Ezh239875	0	0.9434529009081519
emissionprobs	5	1	Ezh239875	1	0.05654709909184804
emissionprobs	5	2	H2az	0	0.35958453659261835
emissionprobs	5	2	H2az	1	0.6404154634073818
emissionprobs	5	3	H3k09me3	0	0.9955988402570451
emissionprobs	5	3	H3k09me3	1	0.004401159742954912
emissionprobs	5	4	H3k27ac	0	0.8752181314956878
emissionprobs	5	4	H3k27ac	1	0.12478186850431214
emissionprobs	5	5	H3k27me3	0	0.9942457566263406
emissionprobs	5	5	H3k27me3	1	0.0057542433736593335
emissionprobs	5	6	H3k4me1	0	0.40683869576047454
emissionprobs	5	6	H3k4me1	1	0.5931613042395254
emissionprobs	5	7	H3k4me2	0	0.011059469917635161
emissionprobs	5	7	H3k4me2	1	0.9889405300823649
emissionprobs	5	8	H3k4me3	0	0.015311287317224014
emissionprobs	5	8	H3k4me3	1	0.984688712682776
emissionprobs	5	9	H3k9ac	0	0.8652606484624421
emissionprobs	5	9	H3k9ac	1	0.1347393515375578
emissionprobs	6	0	Ctcf	0	0.9771656499075918
emissionprobs	6	0	Ctcf	1	0.02283435009240813
emissionprobs	6	1	Ezh239875	0	0.9904979810250367
emissionprobs	6	1	Ezh239875	1	0.009502018974963238
emissionprobs	6	2	H2az	0	0.9165678791645893
emissionprobs	6	2	H2az	1	0.08343212083541066
emissionprobs	6	3	H3k09me3	0	0.9966461645615183
emissionprobs	6	3	H3k09me3	1	0.0033538354384817087
emissionprobs	6	4	H3k27ac	0	0.9426840229448691
emissionprobs	6	4	H3k27ac	1	0.05731597705513093
emissionprobs	6	5	H3k27me3	0	0.9986148439845713
emissionprobs	6	5	H3k27me3	1	0.0013851560154286855
emissionprobs	6	6	H3k4me1	0	0.7181838691236538
emissionprobs	6	6	H3k4me1	1	0.2818161308763461
emissionprobs	6	7	H3k4me2	0	0.25832504169097587
emissionprobs	6	7	H3k4me2	1	0.7416749583090243
emissionprobs	6	8	H3k4me3	0	0.8635176295268407
emissionprobs	6	8	H3k4me3	1	0.13648237047315914
emissionprobs	6	9	H3k9ac	0	0.9660010905954481
emissionprobs	6	9	H3k9ac	1	0.03399890940455175
emissionprobs	7	0	Ctcf	0	0.932775931862111
emissionprobs	7	0	Ctcf	1	0.06722406813788892
emissionprobs	7	1	Ezh239875	0	0.9354359067703
emissionprobs	7	1	Ezh239875	1	0.06456409322969998
emissionprobs	7	2	H2az	0	0.5382138461157173
emissionprobs	7	2	H2az	1	0.4617861538842827
emissionprobs	7	3	H3k09me3	0	0.9984599658582426
emissionprobs	7	3	H3k09me3	1	0.0015400341417573622
emissionprobs	7	4	H3k27ac	0	0.8563675666216727
emissionprobs	7	4	H3k27ac	1	0.14363243337832735
emissionprobs	7	5	H3k27me3	0	0.9987630420423875
emissionprobs	7	5	H3k27me3	1	0.0012369579576124356
emissionprobs	7	6	H3k4me1	0	0.0947764723819422
emissionprobs	7	6	H3k4me1	1	0.9052235276180578
emissionprobs	7	7	H3k4me2	0	0.2002208430846624
emissionprobs	7	7	H3k4me2	1	0.7997791569153376
emissionprobs	7	8	H3k4me3	0	0.9697443356548078
emissionprobs	7	8	H3k4me3	1	0.030255664345192154
emissionprobs	7	9	H3k9ac	0	0.9791591083826003
emissionprobs	7	9	H3k9ac	1	0.020840891617399625
emissionprobs	8	0	Ctcf	0	0.9919677885490215
emissionprobs	8	0	Ctcf	1	0.008032211450978504
emissionprobs	8	1	Ezh239875	0	0.9759625718331252
emissionprobs	8	1	Ezh239875	1	0.024037428166874826
emissionprobs	8	2	H2az	0	0.9708256127732646
emissionprobs	8	2	H2az	1	0.029174387226735418
emissionprobs	8	3	H3k09me3	0	0.9987750111808207
emissionprobs	8	3	H3k09me3	1	0.0012249888191794105
emissionprobs	8	4	H3k27ac	0	0.9882708667508806
emissionprobs	8	4	H3k27ac	1	0.011729133249119353
emissionprobs	8	5	H3k27me3	0	0.9991273246550496
emissionprobs	8	5	H3k27me3	1	8.726753449504259E-4
emissionprobs	8	6	H3k4me1	0	0.415599802518413
emissionprobs	8	6	H3k4me1	1	0.5844001974815871
emissionprobs	8	7	H3k4me2	0	0.9562718861733899
emissionprobs	8	7	H3k4me2	1	0.04372811382661013
emissionprobs	8	8	H3k4me3	0	1.0
emissionprobs	8	8	H3k4me3	1	1.7875447280032128E-45
emissionprobs	8	9	H3k9ac	0	0.9943451830189871
emissionprobs	8	9	H3k9ac	1	0.005654816981012873
emissionprobs	9	0	Ctcf	0	0.8822286403986013
emissionprobs	9	0	Ctcf	1	0.11777135960139883
emissionprobs	9	1	Ezh239875	0	0.14066144065897784
emissionprobs	9	1	Ezh239875	1	0.8593385593410222
emissionprobs	9	2	H2az	0	0.46321714371252615
emissionprobs	9	2	H2az	1	0.5367828562874738
emissionprobs	9	3	H3k09me3	0	0.910065946764582
emissionprobs	9	3	H3k09me3	1	0.08993405323541809
emissionprobs	9	4	H3k27ac	0	0.9862031161119316
emissionprobs	9	4	H3k27ac	1	0.013796883888068365
emissionprobs	9	5	H3k27me3	0	0.3297353042701232
emissionprobs	9	5	H3k27me3	1	0.6702646957298768
emissionprobs	9	6	H3k4me1	0	0.27186854233859686
emissionprobs	9	6	H3k4me1	1	0.7281314576614031
emissionprobs	9	7	H3k4me2	0	0.10746847615474657
emissionprobs	9	7	H3k4me2	1	0.8925315238452534
emissionprobs	9	8	H3k4me3	0	0.38374165230738555
emissionprobs	9	8	H3k4me3	1	0.6162583476926144
emissionprobs	9	9	H3k9ac	0	0.9312845577733171
emissionprobs	9	9	H3k9ac	1	0.06871544222668297
emissionprobs	10	0	Ctcf	0	0.9850345542151753
emissionprobs	10	0	Ctcf	1	0.01496544578482475
emissionprobs	10	1	Ezh239875	0	0.34330002483653554
emissionprobs	10	1	Ezh239875	1	0.6566999751634643
emissionprobs	10	2	H2az	0	0.9769342853545671
emissionprobs	10	2	H2az	1	0.023065714645432844
emissionprobs	10	3	H3k09me3	0	0.8911636441142147
emissionprobs	10	3	H3k09me3	1	0.10883635588578541
emissionprobs	10	4	H3k27ac	0	0.9997681340906518
emissionprobs	10	4	H3k27ac	1	2.318659093481596E-4
emissionprobs	10	5	H3k27me3	0	0.5299013196155457
emissionprobs	10	5	H3k27me3	1	0.4700986803844544
emissionprobs	10	6	H3k4me1	0	0.9579286705711155
emissionprobs	10	6	H3k4me1	1	0.042071329428884585
emissionprobs	10	7	H3k4me2	0	0.983121490696069
emissionprobs	10	7	H3k4me2	1	0.01687850930393099
emissionprobs	10	8	H3k4me3	0	0.9897570602258421
emissionprobs	10	8	H3k4me3	1	0.010242939774157911
emissionprobs	10	9	H3k9ac	0	0.9705029735395545
emissionprobs	10	9	H3k9ac	1	0.029497026460445597
emissionprobs	11	0	Ctcf	0	0.9979245270929867
emissionprobs	11	0	Ctcf	1	0.0020754729070133282
emissionprobs	11	1	Ezh239875	0	0.96241436704749
emissionprobs	11	1	Ezh239875	1	0.037585632952510065
emissionprobs	11	2	H2az	0	0.9982999765705367
emissionprobs	11	2	H2az	1	0.0017000234294633843
emissionprobs	11	3	H3k09me3	0	0.9987256209301287
emissionprobs	11	3	H3k09me3	1	0.0012743790698712077
emissionprobs	11	4	H3k27ac	0	0.999990736294405
emissionprobs	11	4	H3k27ac	1	9.263705594928418E-6
emissionprobs	11	5	H3k27me3	0	0.9602467696474948
emissionprobs	11	5	H3k27me3	1	0.039753230352505206
emissionprobs	11	6	H3k4me1	0	0.9990733169159799
emissionprobs	11	6	H3k4me1	1	9.266830840200865E-4
emissionprobs	11	7	H3k4me2	0	0.9998656912709242
emissionprobs	11	7	H3k4me2	1	1.3430872907592095E-4
emissionprobs	11	8	H3k4me3	0	0.9999591792150512
emissionprobs	11	8	H3k4me3	1	4.0820784948817905E-5
emissionprobs	11	9	H3k9ac	0	0.9982169791619466
emissionprobs	11	9	H3k9ac	1	0.0017830208380533751
emissionprobs	12	0	Ctcf	0	0.9989020077434455
emissionprobs	12	0	Ctcf	1	0.0010979922565544844
emissionprobs	12	1	Ezh239875	0	0.9955152419848703
emissionprobs	12	1	Ezh239875	1	0.004484758015129629
emissionprobs	12	2	H2az	0	0.9971481149619427
emissionprobs	12	2	H2az	1	0.002851885038057358
emissionprobs	12	3	H3k09me3	0	0.9983167200601558
emissionprobs	12	3	H3k09me3	1	0.0016832799398441844
emissionprobs	12	4	H3k27ac	0	0.9998709502856549
emissionprobs	12	4	H3k27ac	1	1.290497143450082E-4
emissionprobs	12	5	H3k27me3	0	0.999015009284495
emissionprobs	12	5	H3k27me3	1	9.849907155049923E-4
emissionprobs	12	6	H3k4me1	0	0.9999981497342507
emissionprobs	12	6	H3k4me1	1	1.8502657493321242E-6
emissionprobs	12	7	H3k4me2	0	0.9999999999999998
emissionprobs	12	7	H3k4me2	1	1.2753237223366347E-16
emissionprobs	12	8	H3k4me3	0	0.9999722091760642
emissionprobs	12	8	H3k4me3	1	2.779082393578079E-5
emissionprobs	12	9	H3k9ac	0	0.9982031424290244
emissionprobs	12	9	H3k9ac	1	0.001796857570975512
emissionprobs	13	0	Ctcf	0	0.9902410349510794
emissionprobs	13	0	Ctcf	1	0.00975896504892055
emissionprobs	13	1	Ezh239875	0	0.9450479458988984
emissionprobs	13	1	Ezh239875	1	0.05495205410110165
emissionprobs	13	2	H2az	0	0.4243799373755127
emissionprobs	13	2	H2az	1	0.5756200626244873
emissionprobs	13	3	H3k09me3	0	0.9890025559260733
emissionprobs	13	3	H3k09me3	1	0.010997444073926669
emissionprobs	13	4	H3k27ac	0	0.9933448657636458
emissionprobs	13	4	H3k27ac	1	0.0066551342363542505
emissionprobs	13	5	H3k27me3	0	0.9975965791597466
emissionprobs	13	5	H3k27me3	1	0.0024034208402534956
emissionprobs	13	6	H3k4me1	0	0.8153650690816613
emissionprobs	13	6	H3k4me1	1	0.1846349309183388
emissionprobs	13	7	H3k4me2	0	0.9450621423808825
emissionprobs	13	7	H3k4me2	1	0.05493785761911741
emissionprobs	13	8	H3k4me3	0	0.9996259372190537
emissionprobs	13	8	H3k4me3	1	3.740627809462377E-4
emissionprobs	13	9	H3k9ac	0	0.9899764972358117
emissionprobs	13	9	H3k9ac	1	0.010023502764188246
emissionprobs	14	0	Ctcf	0	0.11589564518608288
emissionprobs	14	0	Ctcf	1	0.884104354813917
emissionprobs	14	1	Ezh239875	0	0.9383568525430789
emissionprobs	14	1	Ezh239875	1	0.061643147456921156
emissionprobs	14	2	H2az	0	0.9354333237250331
emissionprobs	14	2	H2az	1	0.06456667627496698
emissionprobs	14	3	H3k09me3	0	0.99568705055882
emissionprobs	14	3	H3k09me3	1	0.0043129494411800985
emissionprobs	14	4	H3k27ac	0	0.9977265684444399
emissionprobs	14	4	H3k27ac	1	0.0022734315555600535
emissionprobs	14	5	H3k27me3	0	0.9976380484227494
emissionprobs	14	5	H3k27me3	1	0.0023619515772505114
emissionprobs	14	6	H3k4me1	0	0.9572194585627605
emissionprobs	14	6	H3k4me1	1	0.042780541437239555
emissionprobs	14	7	H3k4me2	0	0.9691273003311713
emissionprobs	14	7	H3k4me2	1	0.03087269966882861
emissionprobs	14	8	H3k4me3	0	0.999572776644064
emissionprobs	14	8	H3k4me3	1	4.272233559361312E-4
emissionprobs	14	9	H3k9ac	0	0.9950041939752279
emissionprobs	14	9	H3k9ac	1	0.004995806024772206
emissionprobs	15	0	Ctcf	0	0.9978577244337521
emissionprobs	15	0	Ctcf	1	0.0021422755662478823
emissionprobs	15	1	Ezh239875	0	0.9968532146079698
emissionprobs	15	1	Ezh239875	1	0.003146785392030191
emissionprobs	15	2	H2az	0	0.9995796361372367
emissionprobs	15	2	H2az	1	4.2036386276338817E-4
emissionprobs	15	3	H3k09me3	0	0.8989098742996071
emissionprobs	15	3	H3k09me3	1	0.1010901257003928
emissionprobs	15	4	H3k27ac	0	0.9999692079622376
emissionprobs	15	4	H3k27ac	1	3.0792037762325337E-5
emissionprobs	15	5	H3k27me3	0	0.9996061443186198
emissionprobs	15	5	H3k27me3	1	3.9385568138028485E-4
emissionprobs	15	6	H3k4me1	0	0.9998721885954812
emissionprobs	15	6	H3k4me1	1	1.278114045187245E-4
emissionprobs	15	7	H3k4me2	0	0.9999469610706625
emissionprobs	15	7	H3k4me2	1	5.30389293375461E-5
emissionprobs	15	8	H3k4me3	0	0.9996784033718161
emissionprobs	15	8	H3k4me3	1	3.215966281837766E-4
emissionprobs	15	9	H3k9ac	0	0.9985068664366699
emissionprobs	15	9	H3k9ac	1	0.0014931335633302167
